freq,reason,deg_urb,sex,age,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 	2025 
A,FEAR,DEG1,M,Y_GE16,PC,SI	0.0 	0.0 	0.1 	0.0 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,SK	0.5 	0.0 n	0.0 	0.0 	: 
A,FEAR,DEG2,F,Y_GE16,PC,AL	0.3 	0.2 	: 	: 	: 
A,FEAR,DEG2,F,Y_GE16,PC,AT	0.1 	0.2 	0.0 	0.1 	: 
A,FEAR,DEG2,F,Y_GE16,PC,BE	0.0 n	0.0 	0.0 n	0.0 n	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,BG	0.2 	0.2 	0.2 	0.1 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,CH	0.0 	0.1 	0.1 	0.1 	: 
A,FEAR,DEG2,F,Y_GE16,PC,CY	0.1 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,CZ	0.2 	0.2 	0.0 n	0.1 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,DE	0.1 	0.0 	0.0 e	0.0 n	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,DK	0.2 	0.1 	0.8 	0.3 	: 
A,FEAR,DEG2,F,Y_GE16,PC,EE	0.0 	0.0 	0.0 	0.0 	0.2 
A,FEAR,DEG2,F,Y_GE16,PC,EL	0.3 	0.2 	0.2 	0.2 	0.2 
A,FEAR,DEG2,F,Y_GE16,PC,ES	0.1 	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,FI	0.0 	0.0 	0.0 	0.2 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,FR	0.8 	0.2 b	0.5 	0.1 	: 
A,FEAR,DEG2,F,Y_GE16,PC,HR	0.2 	0.1 	0.1 b	0.2 	0.1 
A,FEAR,DEG2,F,Y_GE16,PC,HU	0.0 n	0.1 	0.0 n	0.1 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,IE	0.0 	0.0 	0.0 	0.2 	: 
A,FEAR,DEG2,F,Y_GE16,PC,IT	0.2 	0.1 	0.0 n	0.1 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,LT	0.8 	0.1 	0.2 	0.0 p	: 
A,FEAR,DEG2,F,Y_GE16,PC,LU	0.0 n	0.1 b	0.0 n	0.1 	: 
A,FEAR,DEG2,F,Y_GE16,PC,LV	0.1 	0.1 	0.2 	0.0 	0.4 
A,FEAR,DEG2,F,Y_GE16,PC,MK	0.7 b	0.8 	0.7 	: 	: 
A,FEAR,DEG2,F,Y_GE16,PC,MT	0.0 n	0.0 	0.0 n	0.0 n	: 
A,FEAR,DEG2,F,Y_GE16,PC,NL	0.2 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,NO	0.0 b	0.4 	0.2 	0.3 	0.3 
A,FEAR,DEG2,F,Y_GE16,PC,PL	0.0 n	0.1 	0.1 	0.0 n	0.1 
A,FEAR,DEG2,F,Y_GE16,PC,PT	0.1 	0.1 	0.1 	0.1 	0.1 
A,FEAR,DEG2,F,Y_GE16,PC,RO	1.5 	0.3 	0.7 	0.1 	0.1 
A,FEAR,DEG2,F,Y_GE16,PC,RS	0.8 	0.7 	0.3 	0.9 	: 
A,FEAR,DEG2,F,Y_GE16,PC,SE	0.0 	0.1 	0.0 	0.0 	0.0 
A,FEAR,DEG2,F,Y_GE16,PC,SI	0.0 	0.0 	0.0 	0.0 	0.2 
A,FEAR,DEG2,F,Y_GE16,PC,SK	0.4 	0.3 	0.2 	0.0 	: 
A,FEAR,DEG2,M,Y_GE16,PC,AL	0.1 	0.1 	: 	: 	: 
A,FEAR,DEG2,M,Y_GE16,PC,AT	0.0 	0.0 	0.2 	0.0 	: 
A,FEAR,DEG2,M,Y_GE16,PC,BE	0.0 	0.0 n	0.0 n	0.1 	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,BG	0.0 	0.2 	0.1 	0.0 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,CH	0.1 	0.0 	0.0 	0.2 	: 
A,FEAR,DEG2,M,Y_GE16,PC,CY	0.0 	0.0 	0.0 	0.1 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,CZ	0.2 	0.2 	0.1 	0.1 	0.3 
A,FEAR,DEG2,M,Y_GE16,PC,DE	0.0 n	0.0 n	0.0 n	0.1 	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,DK	0.9 	0.7 	0.4 	0.7 	: 
A,FEAR,DEG2,M,Y_GE16,PC,EE	0.0 	0.1 	0.2 	0.2 	0.2 
A,FEAR,DEG2,M,Y_GE16,PC,EL	0.3 	0.2 	0.4 	0.4 	0.2 
A,FEAR,DEG2,M,Y_GE16,PC,ES	0.1 	0.0 n	0.0 n	0.0 n	0.2 
A,FEAR,DEG2,M,Y_GE16,PC,FI	0.0 	0.0 	0.0 	0.0 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,FR	0.4 	0.3 b	0.1 	0.3 	: 
A,FEAR,DEG2,M,Y_GE16,PC,HR	0.3 	0.1 	0.1 b	0.3 	0.3 
A,FEAR,DEG2,M,Y_GE16,PC,HU	0.2 	0.3 	0.1 	0.2 	0.2 
A,FEAR,DEG2,M,Y_GE16,PC,IE	0.0 	0.0 	0.0 	0.0 	: 
A,FEAR,DEG2,M,Y_GE16,PC,IT	0.1 	0.0 n	0.1 	0.0 n	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,LT	0.4 	0.6 	0.0 	0.1 p	: 
A,FEAR,DEG2,M,Y_GE16,PC,LU	0.1 b	0.0 b	0.0 	0.1 	: 
A,FEAR,DEG2,M,Y_GE16,PC,LV	0.0 	0.0 n	0.4 	0.0 	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,MK	0.3 b	0.7 	0.1 	: 	: 
A,FEAR,DEG2,M,Y_GE16,PC,MT	0.1 	0.0 	0.0 	0.0 	: 
A,FEAR,DEG2,M,Y_GE16,PC,NL	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,NO	0.0 b	0.2 	0.3 	0.4 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,PL	0.2 	0.0 n	0.2 	0.0 n	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,PT	0.1 	0.2 	0.2 	0.3 	0.3 
A,FEAR,DEG2,M,Y_GE16,PC,RO	0.9 	0.2 	0.5 	0.2 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,RS	0.3 	0.2 	0.7 	0.5 	: 
A,FEAR,DEG2,M,Y_GE16,PC,SE	0.1 	0.0 	0.1 	0.2 	0.1 
A,FEAR,DEG2,M,Y_GE16,PC,SI	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG2,M,Y_GE16,PC,SK	0.6 	0.6 	0.5 	0.1 	: 
A,FEAR,DEG3,F,Y_GE16,PC,AL	0.3 	0.3 	: 	: 	: 
A,FEAR,DEG3,F,Y_GE16,PC,AT	0.1 	0.0 n	0.0 	0.0 n	: 
A,FEAR,DEG3,F,Y_GE16,PC,BE	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,BG	0.0 n	0.0 n	0.0 	0.1 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,CH	0.1 	0.1 	0.1 	0.2 	: 
A,FEAR,DEG3,F,Y_GE16,PC,CY	0.0 	0.0 	0.0 	0.1 	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,CZ	0.0 n	0.0 	0.0 n	0.0 n	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,DE	0.0 	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,DK	0.8 	0.4 	1.1 	0.1 	: 
A,FEAR,DEG3,F,Y_GE16,PC,EE	0.0 n	0.0 n	0.1 	0.0 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,EL	0.6 	0.1 	0.6 	0.7 	0.3 
A,FEAR,DEG3,F,Y_GE16,PC,ES	0.0 n	0.1 	0.0 	0.0 n	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,FI	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,FR	0.6 	0.3 b	0.3 	0.4 	: 
A,FEAR,DEG3,F,Y_GE16,PC,HR	0.1 	0.0 	0.0 n	0.0 	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,HU	0.1 	0.2 	0.1 	0.1 	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,IE	0.1 	0.1 	0.0 	0.0 	: 
A,FEAR,DEG3,F,Y_GE16,PC,IT	0.1 	0.0 	0.0 n	0.0 n	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,LT	0.4 	0.0 n	0.0 n	0.0 n	: 
A,FEAR,DEG3,F,Y_GE16,PC,LU	0.1 b	0.2 b	0.0 n	0.0 n	: 
A,FEAR,DEG3,F,Y_GE16,PC,LV	0.2 	0.0 n	0.2 	0.0 n	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,MK	0.6 b	0.5 	0.1 	: 	: 
A,FEAR,DEG3,F,Y_GE16,PC,MT	0.0 	0.0 	0.0 	0.0 	: 
A,FEAR,DEG3,F,Y_GE16,PC,NL	0.1 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,NO	0.0 b	0.5 	0.3 	0.1 	0.2 
A,FEAR,DEG3,F,Y_GE16,PC,PL	0.2 	0.0 n	0.1 	0.2 	0.1 
A,FEAR,DEG3,F,Y_GE16,PC,PT	0.2 	0.3 	0.3 	0.2 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,RO	1.4 	0.6 	0.3 	0.2 	0.2 
A,FEAR,DEG3,F,Y_GE16,PC,RS	0.8 	0.1 	0.5 	0.5 	: 
A,FEAR,DEG3,F,Y_GE16,PC,SE	0.1 	0.0 	0.0 	0.2 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,SI	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,F,Y_GE16,PC,SK	0.7 	0.3 	0.3 	0.1 	: 
A,FEAR,DEG3,M,Y_GE16,PC,AL	0.3 	0.2 	: 	: 	: 
A,FEAR,DEG3,M,Y_GE16,PC,AT	0.0 	0.0 n	0.0 	0.0 n	: 
A,FEAR,DEG3,M,Y_GE16,PC,BE	0.0 	0.0 	0.0 	0.1 	0.2 
A,FEAR,DEG3,M,Y_GE16,PC,BG	0.0 	0.1 	0.1 	0.2 	0.2 
A,FEAR,DEG3,M,Y_GE16,PC,CH	0.1 	0.2 	0.1 	0.0 	: 
A,FEAR,DEG3,M,Y_GE16,PC,CY	0.0 	0.0 	0.3 	0.0 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,CZ	0.0 	0.1 	0.0 n	0.0 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,DE	0.0 	0.0 	0.0 n	0.0 n	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,DK	0.4 	0.4 	0.4 	0.1 	: 
A,FEAR,DEG3,M,Y_GE16,PC,EE	0.2 	0.1 	0.0 	0.2 	0.1 
A,FEAR,DEG3,M,Y_GE16,PC,EL	0.5 	0.2 	0.5 	0.5 	0.5 
A,FEAR,DEG3,M,Y_GE16,PC,ES	0.0 n	0.0 	0.0 	0.0 n	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,FI	0.0 	0.0 	0.0 	0.2 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,FR	0.4 	0.2 b	0.6 	0.4 	: 
A,FEAR,DEG3,M,Y_GE16,PC,HR	0.1 	0.0 n	0.1 b	0.1 	0.1 
A,FEAR,DEG3,M,Y_GE16,PC,HU	0.2 	0.0 n	0.1 	0.0 n	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,IE	0.4 	0.0 n	0.1 	0.0 	: 
A,FEAR,DEG3,M,Y_GE16,PC,IT	0.2 	0.0 n	0.0 	0.0 n	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,LT	0.1 	0.0 n	0.0 	0.0 p	: 
A,FEAR,DEG3,M,Y_GE16,PC,LU	0.0 n	0.0 b	0.0 	0.0 	: 
A,FEAR,DEG3,M,Y_GE16,PC,LV	0.2 	0.2 	0.0 n	0.1 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,MK	0.2 b	0.7 	0.6 	: 	: 
A,FEAR,DEG3,M,Y_GE16,PC,MT	0.0 	0.2 	0.0 	0.0 	: 
A,FEAR,DEG3,M,Y_GE16,PC,NL	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,NO	0.0 b	0.0 	0.0 	0.4 	0.5 
A,FEAR,DEG3,M,Y_GE16,PC,PL	0.1 	0.2 	0.2 	0.5 	0.3 
A,FEAR,DEG3,M,Y_GE16,PC,PT	0.2 	0.4 	0.2 	0.3 	0.4 
A,FEAR,DEG3,M,Y_GE16,PC,RO	1.1 	0.5 	0.3 	0.2 	0.2 
A,FEAR,DEG3,M,Y_GE16,PC,RS	0.3 	0.3 	0.6 	0.9 	: 
A,FEAR,DEG3,M,Y_GE16,PC,SE	0.0 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,SI	0.2 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG3,M,Y_GE16,PC,SK	0.5 	0.3 	0.1 	0.2 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,AL	0.3 	0.3 	: 	: 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,AT	0.2 	0.1 	0.0 n	0.1 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,BE	0.0 n	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,BG	0.1 	0.1 	0.1 	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,CH	0.0 n	0.1 	0.1 	0.1 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,CY	0.1 	0.0 n	0.0 	0.0 n	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,CZ	0.1 	0.1 	0.1 	0.1 	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,DE	0.1 	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,DK	0.5 	0.4 	1.0 	0.4 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,EE	0.0 n	0.0 n	0.0 n	0.0 n	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,EL	0.6 	0.2 	0.3 	0.3 	0.3 
A,FEAR,TOTAL,F,Y_GE16,PC,ES	0.1 	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,FI	0.0 	0.0 n	0.0 	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,FR	0.7 	0.3 b	0.4 	0.3 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,HR	0.4 	0.1 	0.0 n	0.1 	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,HU	0.1 	0.2 	0.0 n	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,IE	0.1 	0.0 n	0.0 	0.1 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,IT	0.2 	0.1 	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,LT	0.3 	0.0 n	0.0 n	0.0 n	: 
A,FEAR,TOTAL,F,Y_GE16,PC,LU	0.1 b	0.1 b	0.0 n	0.1 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,LV	0.1 	0.1 	0.1 	0.1 	0.2 
A,FEAR,TOTAL,F,Y_GE16,PC,MK	0.5 b	0.5 	0.3 	: 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,MT	0.0 n	0.0 n	0.1 	0.1 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,NL	0.1 	0.0 n	0.1 	0.0 n	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,NO	0.0 n	0.4 	0.3 	0.3 	0.4 
A,FEAR,TOTAL,F,Y_GE16,PC,PL	0.1 	0.1 	0.1 	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,PT	0.1 	0.2 	0.2 	0.1 	0.0 
A,FEAR,TOTAL,F,Y_GE16,PC,RO	1.2 	0.3 	0.4 	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,RS	0.6 	0.3 	0.3 	0.7 	: 
A,FEAR,TOTAL,F,Y_GE16,PC,SE	0.0 n	0.2 	0.0 n	0.1 	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,SI	0.0 	0.0 	0.0 	0.0 n	0.1 
A,FEAR,TOTAL,F,Y_GE16,PC,SK	0.6 	0.3 	0.2 	0.1 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,AL	0.2 	0.1 	: 	: 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,AT	0.0 	0.1 	0.0 n	0.0 n	: 
A,FEAR,TOTAL,M,Y_GE16,PC,BE	0.0 	0.0 n	0.1 	0.1 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,BG	0.0 n	0.1 	0.1 	0.1 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,CH	0.0 n	0.0 n	0.0 n	0.1 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,CY	0.1 	0.0 	0.1 	0.0 n	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,CZ	0.1 	0.1 	0.0 n	0.0 n	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,DE	0.0 n	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,DK	0.7 	0.4 	0.5 	0.3 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,EE	0.1 	0.0 n	0.0 n	0.2 	0.2 
A,FEAR,TOTAL,M,Y_GE16,PC,EL	0.6 	0.3 	0.4 	0.4 	0.3 
A,FEAR,TOTAL,M,Y_GE16,PC,ES	0.0 n	0.0 n	0.0 n	0.0 n	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,FI	0.0 	0.0 	0.1 	0.1 	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,FR	0.4 	0.3 b	0.3 	0.3 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,HR	0.2 	0.1 	0.1 b	0.1 	0.2 
A,FEAR,TOTAL,M,Y_GE16,PC,HU	0.2 	0.1 	0.1 	0.1 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,IE	0.2 	0.0 n	0.1 	0.0 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,IT	0.1 	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,LT	0.1 	0.2 	0.0 	0.0 n	: 
A,FEAR,TOTAL,M,Y_GE16,PC,LU	0.1 b	0.0 n	0.0 	0.0 n	: 
A,FEAR,TOTAL,M,Y_GE16,PC,LV	0.3 	0.2 	0.2 	0.3 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,MK	0.2 b	0.5 	0.2 	: 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,MT	0.1 	0.0 n	0.0 	0.0 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,NL	0.0 n	0.0 n	0.0 n	0.0 	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,NO	0.0 b	0.1 	0.1 	0.3 	0.2 
A,FEAR,TOTAL,M,Y_GE16,PC,PL	0.1 	0.1 	0.2 	0.3 	0.2 
A,FEAR,TOTAL,M,Y_GE16,PC,PT	0.2 	0.4 	0.3 	0.3 	0.3 
A,FEAR,TOTAL,M,Y_GE16,PC,RO	0.9 	0.3 	0.4 	0.2 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,RS	0.2 	0.2 	0.5 	0.9 	: 
A,FEAR,TOTAL,M,Y_GE16,PC,SE	0.1 	0.0 	0.2 	0.1 	0.1 
A,FEAR,TOTAL,M,Y_GE16,PC,SI	0.1 	0.0 	0.0 n	0.0 	0.0 
A,FEAR,TOTAL,M,Y_GE16,PC,SK	0.5 	0.3 	0.2 	0.1 	: 
A,HOPING,DEG1,F,Y_GE16,PC,AL	1.1 	1.1 	: 	: 	: 
A,HOPING,DEG1,F,Y_GE16,PC,AT	0.1 	0.0 n	0.3 	0.3 	: 
A,HOPING,DEG1,F,Y_GE16,PC,BE	0.1 	0.1 	0.0 n	0.5 	0.1 
A,HOPING,DEG1,F,Y_GE16,PC,BG	0.5 	0.5 	0.3 	0.4 	0.4 
A,HOPING,DEG1,F,Y_GE16,PC,CH	0.4 	1.2 	0.3 	0.4 	: 
A,HOPING,DEG1,F,Y_GE16,PC,CY	0.1 	0.1 	0.0 n	0.0 	0.1 
A,HOPING,DEG1,F,Y_GE16,PC,CZ	0.3 	0.2 	0.4 	0.2 	0.2 
A,HOPING,DEG1,F,Y_GE16,PC,DE	0.0 n	0.1 	0.0 n	0.0 n	0.0 
A,HOPING,DEG1,F,Y_GE16,PC,DK	2.9 	3.0 	4.1 	3.1 	: 
A,HOPING,DEG1,F,Y_GE16,PC,EE	0.0 n	0.1 	0.2 	0.3 	0.1 
